id,listing_url,name,host_id,street,neighbourhood,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,reviews_per_month,borough,english_translation,population,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,bookings_per_month,high_availability
6558184,https://www.airbnb.com/rooms/6558184,Ground Floor Loft within Canal Belt,12874970,"Fokke Simonszstraat, Amsterdam, Noord-Holland 1017, Netherlands",Centrum-Oost,Amsterdam,Noord-Holland,1017,Netherlands,52.35999473,4.895692589,Apartment,Entire home/apt,4,1,1,2,Real Bed,138,880,,250,35,2,25,3,1125,326,4.24,Centrum,Central Amsterdam,85000,12,2015-06-11,2015-08-23,95,10,10,10,10,10,9,8.48,true
3725272,https://www.airbnb.com/rooms/3725272,New clean and light apartment,922621,"Czaar Peterstraat, Amsterdam, North Holland 1018 PE, Netherlands",Centrum-Oost,Amsterdam,North Holland,1018 PE,Netherlands,52.37116599,4.929817934,Apartment,Entire home/apt,4,1,2,2,Real Bed,145,,,,40,4,25,4,365,1,0.24,Centrum,Central Amsterdam,85000,3,2014-08-18,2015-01-03,87,10,9,10,10,9,9,0.48,false
4871100,https://www.airbnb.com/rooms/4871100,"Beautiful, Stylish Centre Apartment",10411661,"Paardenstraat, Amsterdam, Noord-Holland 1017, Netherlands",Centrum-Oost,Amsterdam,Noord-Holland,1017,Netherlands,52.36769888,4.897357417,Apartment,Entire home/apt,4,1,2,4,Real Bed,190,1300,3000,500,50,2,30,2,1125,245,,Centrum,Central Amsterdam,85000,0,,,,,,,,,,,true
950472,https://www.airbnb.com/rooms/950472,A114 Rental near Artis Zoo,3327797,"Entrepotdok, Amsterdam, North Holland 1018 AD, Netherlands",Centrum-Oost,Amsterdam,North Holland,1018 AD,Netherlands,52.36933847,4.915695862,Apartment,Entire home/apt,2,,1,1,Real Bed,120,,,200,,1,0,2,1125,363,,Centrum,Central Amsterdam,85000,0,,,,,,,,,,,true
5416823,https://www.airbnb.com/rooms/5416823,"City Canal apartment top location ",5275866,"Utrechtsestraat, Amsterdam, Noord-Holland 1017 VN, Netherlands",Centrum-Oost,Amsterdam,Noord-Holland,1017 VN,Netherlands,52.36320578,4.8981607,Apartment,Entire home/apt,4,1,1,2,Real Bed,125,,,,,2,0,5,1125,245,1.62,Centrum,Central Amsterdam,85000,8,2015-04-09,2015-07-26,73,8,7,8,9,10,7,3.24,true
6593516,https://www.airbnb.com/rooms/6593516,Amazing city centre apartment,2613932,"Kerkstraat, Amsterdam, Noord-Holland 1017, Netherlands",Centrum-Oost,Amsterdam,Noord-Holland,1017,Netherlands,52.36488036,4.886796798,Apartment,Entire home/apt,2,1,1,1,Real Bed,145,,,,35,1,0,1,1125,158,2.77,Centrum,Central Amsterdam,85000,6,2015-07-01,2015-08-24,97,10,10,10,10,10,10,5.54,false
3740245,https://www.airbnb.com/rooms/3740245,Vintage style studio in trendy area,19122930,"Blankenstraat, Amsterdam, North Holland 1018, Netherlands",Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,52.37087435,4.931705983,Apartment,Entire home/apt,2,1,0,1,Real Bed,70,420,1400,75,20,1,0,2,1125,121,0.81,Centrum,Central Amsterdam,85000,9,2014-10-06,2015-08-22,93,10,9,9,9,9,9,1.62,false
894870,https://www.airbnb.com/rooms/894870,Stylish home in center Amsterdam!,4764704,"Noorderstraat, Amsterdam, North Holland 1017, Netherlands",Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36142875,4.895678761,Apartment,Entire home/apt,4,1,2,4,Real Bed,225,1450,3300,250,50,1,0,4,30,230,0.71,Centrum,Central Amsterdam,85000,21,2013-04-02,2015-07-08,97,10,10,10,10,10,9,1.42,false
98558,https://www.airbnb.com/rooms/98558,Canal studio: 'De Korenbloemen,26919,"Kloveniersburgwal, Amsterdam, North Holland 1011 JX, Netherlands",Centrum-Oost,Amsterdam,North Holland,1011 JX,Netherlands,52.36959599,4.899069358,Apartment,Entire home/apt,2,1,1,1,Real Bed,160,1050,,,,1,0,3,30,76,1.01,Centrum,Central Amsterdam,85000,25,2013-08-24,2015-07-27,97,10,10,10,10,10,9,2.02,false
2304726,https://www.airbnb.com/rooms/2304726,Joao Apartment,1242960,"Amstel, Amsterdam, North Holland 1017 AA, Netherlands",Centrum-Oost,Amsterdam,North Holland,1017 AA,Netherlands,52.3659616,4.893628254,Apartment,Entire home/apt,4,1,2,2,Real Bed,220,,,200,,4,0,2,1125,361,0.47,Centrum,Central Amsterdam,85000,9,2014-02-09,2015-07-01,88,8,9,9,7,10,8,0.94,true
